/*********************************************
 * OPL 22.1.1.0 Data
 * Author: bt220740
 * Creation Date: 27 janv. 2025 at 09:41:48
 *********************************************/

  n = 11; // 1 dépôt + 10 clients
  m = 10;
  V = 4;
  Qmax = 100;

demande = [60, 18, 26, 15, 44, 32, 20, 10, 27, 11];
distance = [
  [0,   2.7, 4.6, 2.8, 3,   3.3, 3.1, 2.7, 5.1, 3.9, 4.7],
  [2.7, 0,   3.1, 0.8, 1.8, 2.5, 4.2, 1.4, 3.6, 2.5, 3  ],
  [4.6, 3.1, 0,   3.3, 4.4, 1.7, 6.8, 4.1, 1.3, 1.7, 1.4],
  [2.8, 0.8, 3.3, 0,   1.9, 2,   4,   1.5, 3.8, 2.8, 3.2],
  [3,   1.8, 4.4, 1.9, 0,   3.4, 2.6, 0.5, 4.7, 4.7, 4.1],
  [3.3, 2.5, 1.7, 2,   3.4, 0,   5.8, 3,   1.8, 0.5, 2.6],
  [3.1, 4.2, 6.8, 4,   2.6, 5.8, 0,   3,   7.4, 6.1, 7.6],
  [2.7, 1.4, 4.1, 1.5, 0.5, 3,   3,   0,   4.6, 3.7, 4.3],
  [5.1, 3.6, 1.3, 3.8, 4.7, 1.8, 7.4, 4.6, 0,   1.4, 2.8],
  [3.9, 2.5, 1.7, 2.8, 4.7, 0.5, 6.1, 3.7, 1.4, 0,   2.8],
  [4.7, 3,   1.4, 3.2, 4.1, 2.6, 7.6, 4.3, 2.8, 2.8, 0  ]
];
